"ref_date","geo","dguid","field","value"
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Engineering",10147
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Architecture",9672
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Agriculture, natural resources and conservation",6363
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Medicine",25686
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Nursing",6376
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Other health, parks, recreation and fitness",6376
"2016/2017","Guelph","550","Total, field of study",6828
"2016/2017","Guelph","550","Visual and performing arts, and communications technologies",6276
"2016/2017","Guelph","550","Humanities",6276
"2016/2017","Guelph","550","Social and behavioural sciences, and legal studies",6276
"2016/2017","Guelph","550","Business management and public administration",7489
"2016/2017","Guelph","550","Physical and life sciences and technologies",6276
"2016/2017","Guelph","550","Mathematics, computer and information sciences",7489
"2016/2017","Guelph","550","Engineering",9385
"2016/2017","Guelph","550","Architecture",8133
"2016/2017","Guelph","550","Agriculture, natural resources and conservation",6276
"2016/2017","Guelph","550","Veterinary medicine",8133
"2016/2017","Guelph","550","Personal, protective and transportation services",6276
"2016/2017","Thunder Bay","595","Total, field of study",6657
"2016/2017","Thunder Bay","595","Education",6384
"2016/2017","Thunder Bay","595","Visual and performing arts, and communications technologies",6133
"2016/2017","Thunder Bay","595","Humanities",6133
"2016/2017","Thunder Bay","595","Social and behavioural sciences, and legal studies",6133
"2016/2017","Thunder Bay","595","Law",16704
"2016/2017","Thunder Bay","595","Business management and public administration",6612
"2016/2017","Thunder Bay","595","Physical and life sciences and technologies",6133
"2016/2017","Thunder Bay","595","Mathematics, computer and information sciences",6133
"2016/2017","Thunder Bay","595","Engineering",7355
"2016/2017","Thunder Bay","595","Agriculture, natural resources and conservation",6133
"2016/2017","Thunder Bay","595","Nursing",6133
"2016/2017","Thunder Bay","595","Other health, parks, recreation and fitness",6133
"2016/2017","Greater Sudbury","580","Total, field of study",6615
"2016/2017","Greater Sudbury","580","Education",6163
"2016/2017","Greater Sudbury","580","Visual and performing arts, and communications technologies",6163
"2016/2017","Greater Sudbury","580","Humanities",6163
"2016/2017","Greater Sudbury","580","Social and behavioural sciences, and legal studies",6163
"2016/2017","Greater Sudbury","580","Law",NA
"2016/2017","Greater Sudbury","580","Business management and public administration",7493
"2016/2017","Greater Sudbury","580","Physical and life sciences and technologies",6163
"2016/2017","Greater Sudbury","580","Mathematics, computer and information sciences",7493
"2016/2017","Greater Sudbury","580","Engineering",8132
"2016/2017","Greater Sudbury","580","Architecture",9785
"2016/2017","Greater Sudbury","580","Nursing",6042
"2016/2017","Greater Sudbury","580","Other health, parks, recreation and fitness",6042
"2016/2017","Greater Sudbury","580","Personal, protective and transportation services",6163
"2016/2017","Hamilton","537","Total, field of study",7839
"2016/2017","Hamilton","537","Humanities",6329
"2016/2017","Hamilton","537","Social and behavioural sciences, and legal studies",6329
"2016/2017","Hamilton","537","Business management and public administration",9234
"2016/2017","Hamilton","537","Physical and life sciences and technologies",6329
"2016/2017","Hamilton","537","Mathematics, computer and information sciences",6329
"2016/2017","Hamilton","537","Engineering",10136
"2016/2017","Hamilton","537","Medicine",NA
"2016/2017","Hamilton","537","Nursing",7491
"2016/2017","Hamilton","537","Other health, parks, recreation and fitness",9205
"2016/2017","North Bay","575","Total, field of study",6360
"2016/2017","North Bay","575","Education",6934
"2016/2017","North Bay","575","Visual and performing arts, and communications technologies",6055
"2016/2017","North Bay","575","Humanities",6055
"2016/2017","North Bay","575","Social and behavioural sciences, and legal studies",6055
"2016/2017","North Bay","575","Business management and public administration",6838
"2016/2017","North Bay","575","Physical and life sciences and technologies",6055
"2016/2017","North Bay","575","Mathematics, computer and information sciences",6838
"2016/2017","North Bay","575","Agriculture, natural resources and conservation",6055
"2016/2017","North Bay","575","Nursing",6055
"2016/2017","North Bay","575","Other health, parks, recreation and fitness",6055
"2016/2017","North Bay","575","Personal, protective and transportation services",6055
"2016/2017","Kingston","521","Total, field of study",9010
"2016/2017","Kingston","521","Education",6294
"2016/2017","Kingston","521","Visual and performing arts, and communications technologies",6385
"2016/2017","Kingston","521","Humanities",6385
"2016/2017","Kingston","521","Social and behavioural sciences, and legal studies",6396
"2016/2017","Kingston","521","Law",18330
"2016/2017","Kingston","521","Business management and public administration",15241
"2016/2017","Kingston","521","Physical and life sciences and technologies",6385
"2016/2017","Kingston","521","Mathematics, computer and information sciences",6416
"2016/2017","Kingston","521","Engineering",12264
"2016/2017","Kingston","521","Agriculture, natural resources and conservation",6385
"2016/2017","Kingston","521","Medicine",24867
"2016/2017","Kingston","521","Nursing",6704
"2016/2017","Kingston","521","Other health, parks, recreation and fitness",6385
"2016/2017","Peterborough","529","Total, field of study",6393
"2016/2017","Peterborough","529","Education",6393
"2016/2017","Peterborough","529","Humanities",6393
"2016/2017","Peterborough","529","Social and behavioural sciences, and legal studies",6393
"2016/2017","Peterborough","529","Business management and public administration",6393
"2016/2017","Peterborough","529","Physical and life sciences and technologies",6393
"2016/2017","Peterborough","529","Mathematics, computer and information sciences",6393
"2016/2017","Peterborough","529","Agriculture, natural resources and conservation",6393
"2016/2017","Peterborough","529","Nursing",6393
"2016/2017","Peterborough","529","Personal, protective and transportation services",6393
"2016/2017","Windsor","559","Total, field of study",7846
"2016/2017","Windsor","559","Education",7144
"2016/2017","Windsor","559","Visual and performing arts, and communications technologies",6134
"2016/2017","Windsor","559","Humanities",6134
"2016/2017","Windsor","559","Social and behavioural sciences, and legal studies",6134
"2016/2017","Windsor","559","Law",17694
"2016/2017","Windsor","559","Business management and public administration",8832
"2016/2017","Windsor","559","Physical and life sciences and technologies",6255
"2016/2017","Windsor","559","Mathematics, computer and information sciences",9095
"2016/2017","Windsor","559","Engineering",9584
"2016/2017","Windsor","559","Nursing",6134
"2016/2017","Windsor","559","Other health, parks, recreation and fitness",6255
"2016/2017","Toronto","535","Total, field of study",8266
"2016/2017","Toronto","535","Education",6580
