"ref_date","dguid","index","value"
2024,1211001,"Housing and transportation",0.3261
2024,1211001,"Housing",0.1065
2024,1211001,"Transportation",0.2196
2024,1211006,"Housing and transportation",0.3096
2024,1211006,"Housing",0.1196
2024,1211006,"Transportation",0.19
2024,1211009,"Housing and transportation",0.2554
2024,1211009,"Housing",0.1012
2024,1211009,"Transportation",0.1542
2024,1211011,"Housing and transportation",0.3546
2024,1211011,"Housing",0.1619
2024,1211011,"Transportation",0.1927
2024,1211012,"Housing and transportation",0.2798
2024,1211012,"Housing",0.1024
2024,1211012,"Transportation",0.1774
2024,1211014,"Housing and transportation",0.2782
2024,1211014,"Housing",0.1086
2024,1211014,"Transportation",0.1695
2024,1212001,"Housing and transportation",0.2537
2024,1212001,"Housing",0.0958
2024,1212001,"Transportation",0.1579
2024,1212004,"Housing and transportation",0.3475
2024,1212004,"Housing",0.1487
2024,1212004,"Transportation",0.1988
2024,1212006,"Housing and transportation",0.2842
2024,1212006,"Housing",0.1252
2024,1212006,"Transportation",0.159
2024,1212008,"Housing and transportation",0.3213
2024,1212008,"Housing",0.1395
2024,1212008,"Transportation",0.1818
2024,1212009,"Housing and transportation",0.3404
2024,1212009,"Housing",0.1574
2024,1212009,"Transportation",0.183
2024,1212011,"Housing and transportation",0.273
2024,1212011,"Housing",0.1185
2024,1212011,"Transportation",0.1546
2024,1212014,"Housing and transportation",0.3436
2024,1212014,"Housing",0.1531
2024,1212014,"Transportation",0.1906
2024,1212016,"Housing and transportation",0.3249
2024,1212016,"Housing",0.1369
2024,1212016,"Transportation",0.188
2024,1212019,"Transportation",0.1806
2024,1213001,"Housing and transportation",0.2676
2024,1213001,"Housing",0.086
2024,1213001,"Transportation",0.1816
2024,1213004,"Housing and transportation",0.2903
2024,1213004,"Housing",0.0912
2024,1213004,"Transportation",0.1991
2024,1213008,"Transportation",0.1816
2024,1214001,"Housing and transportation",0.3002
2024,1214001,"Housing",0.1265
2024,1214001,"Transportation",0.1737
2024,1214002,"Housing and transportation",0.4098
2024,1214002,"Housing",0.1499
