"year","geo","dguid","age","type","value"
2021,"Newfoundland and Labrador","10","30 to 34","lodging and rooming houses",10
2021,"Newfoundland and Labrador","10","30 to 34","hotels, motels, and temporary accommodation",5
2021,"Newfoundland and Labrador","10","30 to 34","other service collective",0
2021,"Newfoundland and Labrador","10","30 to 34","religious establishments",0
2021,"Newfoundland and Labrador","10","30 to 34","hutterite colonies",0
2021,"Newfoundland and Labrador","10","30 to 34","other",15
2021,"Newfoundland and Labrador","10","35 to 39","total",265
2021,"Newfoundland and Labrador","10","35 to 39","health care and related",90
2021,"Newfoundland and Labrador","10","35 to 39","hospitals",0
2021,"Newfoundland and Labrador","10","35 to 39","nursing homes",0
2021,"Newfoundland and Labrador","10","35 to 39","senior residences",0
2021,"Newfoundland and Labrador","10","35 to 39","mix of nursing home and senior residences",0
2021,"Newfoundland and Labrador","10","35 to 39","residential care facilities",80
2021,"Newfoundland and Labrador","10","35 to 39","correctional facilities",145
2021,"Newfoundland and Labrador","10","35 to 39","shelters",5
2021,"Newfoundland and Labrador","10","35 to 39","service collective",20
2021,"Newfoundland and Labrador","10","35 to 39","lodging and rooming houses",15
2021,"Newfoundland and Labrador","10","35 to 39","hotels, motels, and temporary accommodation",5
2021,"Newfoundland and Labrador","10","35 to 39","other service collective",5
2021,"Newfoundland and Labrador","10","35 to 39","religious establishments",0
2021,"Newfoundland and Labrador","10","35 to 39","hutterite colonies",0
2021,"Newfoundland and Labrador","10","35 to 39","other",5
2021,"Newfoundland and Labrador","10","40 to 44","total",225
2021,"Newfoundland and Labrador","10","40 to 44","health care and related",80
2021,"Newfoundland and Labrador","10","40 to 44","hospitals",0
2021,"Newfoundland and Labrador","10","40 to 44","nursing homes",15
2021,"Newfoundland and Labrador","10","40 to 44","senior residences",0
2021,"Newfoundland and Labrador","10","40 to 44","mix of nursing home and senior residences",0
2021,"Newfoundland and Labrador","10","40 to 44","residential care facilities",65
2021,"Newfoundland and Labrador","10","40 to 44","correctional facilities",100
2021,"Newfoundland and Labrador","10","40 to 44","shelters",10
2021,"Newfoundland and Labrador","10","40 to 44","service collective",30
2021,"Newfoundland and Labrador","10","40 to 44","lodging and rooming houses",20
2021,"Newfoundland and Labrador","10","40 to 44","hotels, motels, and temporary accommodation",5
2021,"Newfoundland and Labrador","10","40 to 44","other service collective",0
2021,"Newfoundland and Labrador","10","40 to 44","religious establishments",0
2021,"Newfoundland and Labrador","10","40 to 44","hutterite colonies",0
2021,"Newfoundland and Labrador","10","40 to 44","other",5
