"dguid","char","period","total","o","om","onm","r","rs","rns"
1204,"0.5% or under","Total",1290,1195,0,1185,95,45,50
1204,"0.5% or under","Before 2016",1270,1175,0,1165,95,45,50
1204,"0.5% or under","2016 to 2021",20,20,0,20,0,0,0
1204,"0.6% to 1.25%","Total",1615,1290,245,1045,325,80,240
1204,"0.6% to 1.25%","Before 2016",1590,1265,235,1030,325,80,240
1204,"0.6% to 1.25%","2016 to 2021",30,20,0,0,0,0,0
1204,"1.26% to 2%","Total",1330,990,795,195,340,25,315
1204,"1.26% to 2%","Before 2016",1300,965,785,175,335,25,310
1204,"1.26% to 2%","2016 to 2021",30,25,0,0,0,0,0
1204,"2.1% to 3%","Total",560,460,420,40,105,0,100
1204,"2.1% to 3%","Before 2016",520,440,405,30,75,0,75
1204,"2.1% to 3%","2016 to 2021",40,20,0,0,25,0,20
1204,"3.1% or over","Total",175,160,150,0,20,0,20
1204,"3.1% or over","Before 2016",175,150,145,0,20,0,20
1204,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1205,"Total","Total",9710,7660,3580,4085,2050,360,1690
1205,"Total","Before 2016",9510,7510,3515,3995,2000,360,1635
1205,"Total","2016 to 2021",205,155,65,85,55,0,55
1205,"1+ person with limitation","Total",915,685,480,205,230,25,210
1205,"1+ person with limitation","Before 2016",885,665,465,195,225,25,195
1205,"1+ person with limitation","2016 to 2021",30,20,0,0,0,0,0
1205,"Veteran in household","Total",1435,1275,720,555,160,15,135
1205,"Veteran in household","Before 2016",1400,1250,695,555,155,15,135
1205,"Veteran in household","2016 to 2021",30,25,25,0,0,0,0
1205,"0.5% or under","Total",1870,1665,0,1650,205,55,155
1205,"0.5% or under","Before 2016",1825,1625,0,1615,200,55,150
1205,"0.5% or under","2016 to 2021",45,40,0,40,0,0,0
1205,"0.6% to 1.25%","Total",3470,2670,490,2180,795,210,590
1205,"0.6% to 1.25%","Before 2016",3420,2625,480,2140,795,210,590
1205,"0.6% to 1.25%","2016 to 2021",45,45,0,40,0,0,0
1205,"1.26% to 2%","Total",2555,1735,1515,225,820,100,725
1205,"1.26% to 2%","Before 2016",2520,1725,1510,215,800,100,695
1205,"1.26% to 2%","2016 to 2021",35,0,0,0,25,0,25
1205,"2.1% to 3%","Total",1290,1100,1075,25,195,0,195
1205,"2.1% to 3%","Before 2016",1230,1060,1040,25,175,0,175
1205,"2.1% to 3%","2016 to 2021",65,40,40,0,25,0,25
1205,"3.1% or over","Total",530,490,490,0,35,0,30
1205,"3.1% or over","Before 2016",515,475,475,0,35,0,30
1205,"3.1% or over","2016 to 2021",15,15,15,0,0,0,0
1206,"Total","Total",22260,17915,8270,9640,4345,520,3830
1206,"Total","Before 2016",21455,17360,7950,9405,4100,485,3610
1206,"Total","2016 to 2021",810,560,325,235,250,30,215
1206,"1+ person with limitation","Total",2500,1955,1345,605,545,30,515
1206,"1+ person with limitation","Before 2016",2400,1875,1285,585,530,30,500
1206,"1+ person with limitation","2016 to 2021",100,85,65,25,0,0,0
1206,"Veteran in household","Total",1320,1150,475,675,165,10,150
1206,"Veteran in household","Before 2016",1265,1120,455,665,150,0,140
1206,"Veteran in household","2016 to 2021",55,35,20,0,20,0,0
1206,"0.5% or under","Total",4990,4640,40,4605,350,90,265
1206,"0.5% or under","Before 2016",4870,4540,40,4505,330,90,245
1206,"0.5% or under","2016 to 2021",125,105,0,105,15,0,15
1206,"0.6% to 1.25%","Total",7305,5785,1415,4370,1520,325,1195
1206,"0.6% to 1.25%","Before 2016",7150,5645,1380,4260,1510,320,1190
1206,"0.6% to 1.25%","2016 to 2021",160,145,30,115,15,0,0
1206,"1.26% to 2%","Total",6090,4155,3585,565,1940,100,1840
1206,"1.26% to 2%","Before 2016",5825,4005,3450,555,1825,75,1745
1206,"1.26% to 2%","2016 to 2021",265,150,135,0,115,20,95
1206,"2.1% to 3%","Total",2895,2410,2330,85,480,0,470
1206,"2.1% to 3%","Before 2016",2705,2320,2240,80,390,0,390
1206,"2.1% to 3%","2016 to 2021",185,95,85,0,90,0,85
1206,"3.1% or over","Total",980,920,910,0,55,0,55
1206,"3.1% or over","Before 2016",900,855,845,0,45,0,45
1206,"3.1% or over","2016 to 2021",75,65,65,0,0,0,0
1207,"Total","Total",26855,18175,10260,7910,8680,990,7695
1207,"Total","Before 2016",25690,17660,9900,7760,8030,955,7075
1207,"Total","2016 to 2021",1165,520,370,150,650,30,620
1207,"1+ person with limitation","Total",3260,2105,1635,465,1155,100,1060
1207,"1+ person with limitation","Before 2016",3140,2050,1580,465,1085,100,985
1207,"1+ person with limitation","2016 to 2021",120,55,55,0,70,0,70
1207,"Veteran in household","Total",3720,2705,1665,1045,1015,135,875
1207,"Veteran in household","Before 2016",3510,2605,1580,1025,910,135,775
1207,"Veteran in household","2016 to 2021",205,105,85,25,100,0,100
1207,"0.5% or under","Total",4250,3625,40,3590,625,220,400
1207,"0.5% or under","Before 2016",4140,3535,40,3495,605,220,385
1207,"0.5% or under","2016 to 2021",110,95,0,95,20,0,20
1207,"0.6% to 1.25%","Total",8760,5290,1410,3880,3470,610,2865
1207,"0.6% to 1.25%","Before 2016",8640,5230,1405,3825,3410,585,2825
1207,"0.6% to 1.25%","2016 to 2021",120,65,0,60,60,20,40
1207,"1.26% to 2%","Total",8820,5140,4760,380,3675,140,3540
1207,"1.26% to 2%","Before 2016",8355,5020,4645,380,3330,125,3205
1207,"1.26% to 2%","2016 to 2021",465,115,115,0,350,0,335
1207,"2.1% to 3%","Total",3805,3000,2950,55,805,20,785
1207,"2.1% to 3%","Before 2016",3495,2890,2840,55,600,20,585
1207,"2.1% to 3%","2016 to 2021",315,110,110,0,200,0,200
1207,"3.1% or over","Total",1220,1115,1105,0,105,0,100
1207,"3.1% or over","Before 2016",1060,980,965,0,80,0,80
1207,"3.1% or over","2016 to 2021",160,135,135,0,25,0,25
1208,"Total","Total",17560,14090,8560,5530,3470,300,3170
1208,"Total","Before 2016",16560,13495,8105,5390,3065,285,2785
1208,"Total","2016 to 2021",1000,595,450,145,400,0,390
1208,"1+ person with limitation","Total",2380,1910,1520,390,470,0,455
1208,"1+ person with limitation","Before 2016",2245,1810,1440,370,435,0,420
1208,"1+ person with limitation","2016 to 2021",135,100,75,25,40,0,40
1208,"Veteran in household","Total",1835,1585,1045,540,250,0,235
1208,"Veteran in household","Before 2016",1680,1465,950,515,215,0,200
1208,"Veteran in household","2016 to 2021",150,120,100,20,30,0,30
1208,"0.5% or under","Total",3570,3285,55,3225,290,80,205
1208,"0.5% or under","Before 2016",3500,3230,55,3170,270,80,190
1208,"0.5% or under","2016 to 2021",70,60,0,60,15,0,15
1208,"0.6% to 1.25%","Total",5285,3710,1540,2165,1580,180,1395
1208,"0.6% to 1.25%","Before 2016",5140,3590,1500,2090,1545,175,1375
1208,"0.6% to 1.25%","2016 to 2021",145,115,40,80,35,0,30
1208,"1.26% to 2%","Total",5515,4195,4085,115,1325,35,1285
1208,"1.26% to 2%","Before 2016",5115,4040,3935,100,1075,30,1045
1208,"1.26% to 2%","2016 to 2021",400,155,145,0,250,0,240
1208,"2.1% to 3%","Total",2630,2370,2355,15,260,0,260
1208,"2.1% to 3%","Before 2016",2335,2165,2150,15,165,0,165
1208,"2.1% to 3%","2016 to 2021",300,205,205,0,100,0,100
1208,"3.1% or over","Total",555,530,530,0,20,0,20
1208,"3.1% or over","Before 2016",480,470,465,0,0,0,0
1208,"3.1% or over","2016 to 2021",80,65,65,0,0,0,0
1209,"Total","Total",190355,109460,69565,39900,80895,6285,74610
1209,"Total","Before 2016",176510,104165,65115,39060,72350,6155,66195
1209,"Total","2016 to 2021",13840,5290,4455,840,8550,130,8420
1209,"1+ person with limitation","Total",27525,15800,12680,3125,11725,490,11235
1209,"1+ person with limitation","Before 2016",25565,14960,11915,3050,10600,465,10140
1209,"1+ person with limitation","2016 to 2021",1960,840,760,75,1115,25,1095
1209,"Veteran in household","Total",20500,14475,9715,4760,6025,365,5660
1209,"Veteran in household","Before 2016",18990,13710,9030,4685,5275,335,4940
1209,"Veteran in household","2016 to 2021",1510,765,685,80,750,30,715
1209,"0.5% or under","Total",18055,14330,280,14055,3720,1565,2160
1209,"0.5% or under","Before 2016",17680,14095,275,13820,3585,1545,2045
1209,"0.5% or under","2016 to 2021",370,240,0,235,135,20,115
1209,"0.6% to 1.25%","Total",55895,29355,6895,22465,26535,3510,23025
1209,"0.6% to 1.25%","Before 2016",55035,28730,6720,22010,26305,3500,22805
1209,"0.6% to 1.25%","2016 to 2021",860,630,175,450,230,0,215
1209,"1.26% to 2%","Total",67850,31145,28160,2985,36710,980,35735
1209,"1.26% to 2%","Before 2016",63230,30130,27280,2845,33100,925,32175
1209,"1.26% to 2%","2016 to 2021",4625,1015,880,135,3605,55,3555
1209,"2.1% to 3%","Total",36725,24660,24350,310,12060,190,11870
1209,"2.1% to 3%","Before 2016",30705,22670,22375,295,8035,150,7885
1209,"2.1% to 3%","2016 to 2021",6015,1990,1975,20,4030,40,3990
1209,"3.1% or over","Total",11835,9965,9880,90,1870,45,1825
1209,"3.1% or over","Before 2016",9865,8550,8460,90,1320,40,1275
1209,"3.1% or over","2016 to 2021",1970,1420,1420,0,550,0,545
1210,"Total","Total",22520,15490,8265,7225,7030,820,6210
1210,"Total","Before 2016",21655,15005,7955,7050,6650,805,5845
1210,"Total","2016 to 2021",865,485,315,170,380,15,365
1210,"1+ person with limitation","Total",2645,1755,1325,430,895,50,845
1210,"1+ person with limitation","Before 2016",2575,1715,1290,430,860,50,810
1210,"1+ person with limitation","2016 to 2021",70,40,40,0,30,0,30
1210,"Veteran in household","Total",1595,1285,670,615,310,0,310
1210,"Veteran in household","Before 2016",1540,1250,645,605,285,0,280
1210,"Veteran in household","2016 to 2021",60,35,20,0,30,0,30
1210,"0.5% or under","Total",3605,3255,25,3230,355,95,255
1210,"0.5% or under","Before 2016",3510,3160,25,3135,350,95,255
1210,"0.5% or under","2016 to 2021",100,100,0,95,0,0,0
1210,"0.6% to 1.25%","Total",7660,4855,1315,3535,2810,550,2260
1210,"0.6% to 1.25%","Before 2016",7510,4750,1285,3465,2760,530,2230
1210,"0.6% to 1.25%","2016 to 2021",145,105,30,75,45,15,25
1210,"1.26% to 2%","Total",7585,4260,3895,365,3320,165,3160
1210,"1.26% to 2%","Before 2016",7285,4160,3795,365,3125,165,2960
1210,"1.26% to 2%","2016 to 2021",295,100,100,0,195,0,195
1210,"2.1% to 3%","Total",2730,2290,2210,85,435,0,425
1210,"2.1% to 3%","Before 2016",2495,2180,2105,80,315,0,310
1210,"2.1% to 3%","2016 to 2021",230,110,105,0,120,0,120
1210,"3.1% or over","Total",940,825,815,0,115,0,115
1210,"3.1% or over","Before 2016",850,760,745,0,95,0,95
1210,"3.1% or over","2016 to 2021",95,70,70,0,20,0,20
1211,"Total","Total",13945,10465,4795,5670,3480,655,2820
1211,"Total","Before 2016",13620,10270,4720,5555,3345,645,2695
1211,"Total","2016 to 2021",325,190,80,115,130,0,120
1211,"1+ person with limitation","Total",1415,1090,800,285,330,55,270
1211,"1+ person with limitation","Before 2016",1400,1075,790,285,325,55,270
1211,"1+ person with limitation","2016 to 2021",15,0,0,0,0,0,0
1211,"Veteran in household","Total",1360,1150,425,730,205,0,190
1211,"Veteran in household","Before 2016",1310,1110,405,705,195,0,180
1211,"Veteran in household","2016 to 2021",50,40,20,20,0,0,0
1211,"0.5% or under","Total",2590,2195,15,2180,390,120,270
1211,"0.5% or under","Before 2016",2545,2160,15,2140,390,120,265
1211,"0.5% or under","2016 to 2021",50,40,0,40,0,0,0
1211,"0.6% to 1.25%","Total",5195,3830,790,3035,1365,380,985
1211,"0.6% to 1.25%","Before 2016",5105,3760,790,2970,1340,370,970
1211,"0.6% to 1.25%","2016 to 2021",85,65,0,65,25,0,0
1211,"1.26% to 2%","Total",4065,2595,2215,380,1475,150,1325
1211,"1.26% to 2%","Before 2016",3965,2560,2190,365,1410,150,1260
1211,"1.26% to 2%","2016 to 2021",100,40,25,0,65,0,65
1211,"2.1% to 3%","Total",1550,1360,1300,60,190,0,190
1211,"2.1% to 3%","Before 2016",1485,1320,1265,60,160,0,155
1211,"2.1% to 3%","2016 to 2021",70,35,35,0,35,0,35
1211,"3.1% or over","Total",540,490,480,0,55,0,55
1211,"3.1% or over","Before 2016",520,475,460,0,45,0,45
1211,"3.1% or over","2016 to 2021",25,15,15,0,0,0,0
1212,"Total","Total",19455,14465,7195,7275,4990,795,4195
1212,"Total","Before 2016",18950,14150,6965,7180,4800,790,4015
1212,"Total","2016 to 2021",510,320,230,95,185,0,180
1212,"1+ person with limitation","Total",2260,1650,1215,430,610,40,560
1212,"1+ person with limitation","Before 2016",2225,1625,1200,425,600,40,555
1212,"1+ person with limitation","2016 to 2021",30,25,20,0,0,0,0
1212,"Veteran in household","Total",1140,950,450,495,190,0,180
1212,"Veteran in household","Before 2016",1080,910,430,485,170,0,165
1212,"Veteran in household","2016 to 2021",60,40,25,15,20,0,20
1212,"0.5% or under","Total",3295,2860,20,2840,440,170,260
1212,"0.5% or under","Before 2016",3245,2820,20,2795,420,170,250
1212,"0.5% or under","2016 to 2021",55,40,0,40,0,0,0
1212,"0.6% to 1.25%","Total",7590,5190,1360,3825,2405,520,1880
1212,"0.6% to 1.25%","Before 2016",7525,5130,1340,3790,2395,520,1875
1212,"0.6% to 1.25%","2016 to 2021",65,55,25,35,0,0,0
1212,"1.26% to 2%","Total",5740,3900,3410,490,1845,95,1745
1212,"1.26% to 2%","Before 2016",5555,3815,3335,485,1740,95,1645
1212,"1.26% to 2%","2016 to 2021",190,85,75,0,110,0,105
1212,"2.1% to 3%","Total",2130,1870,1765,100,260,0,260
1212,"2.1% to 3%","Before 2016",1980,1780,1685,95,205,0,205
1212,"2.1% to 3%","2016 to 2021",150,85,80,0,60,0,60
1212,"3.1% or over","Total",700,655,635,20,40,0,40
1212,"3.1% or over","Before 2016",645,605,585,20,40,0,40
1212,"3.1% or over","2016 to 2021",50,50,50,0,0,0,0
1213,"Total","Total",3560,3115,1000,2115,445,70,370
1213,"Total","Before 2016",3450,3030,945,2085,425,70,350
1213,"Total","2016 to 2021",100,90,55,30,15,0,15
1213,"1+ person with limitation","Total",255,215,135,85,40,0,25
1213,"1+ person with limitation","Before 2016",240,200,115,85,40,0,25
1213,"1+ person with limitation","2016 to 2021",20,20,20,0,0,0,0
1213,"Veteran in household","Total",135,130,50,80,0,0,0
1213,"Veteran in household","Before 2016",130,125,50,80,0,0,0
1213,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1213,"0.5% or under","Total",1240,1140,0,1130,105,20,85
1213,"0.5% or under","Before 2016",1225,1120,0,1120,100,20,80
1213,"0.5% or under","2016 to 2021",20,15,0,15,0,0,0
1213,"0.6% to 1.25%","Total",1250,1050,175,875,200,50,150
1213,"0.6% to 1.25%","Before 2016",1230,1035,170,865,195,50,145
1213,"0.6% to 1.25%","2016 to 2021",20,0,0,0,0,0,0
1213,"1.26% to 2%","Total",730,615,520,95,115,0,115
1213,"1.26% to 2%","Before 2016",710,600,515,90,110,0,105
1213,"1.26% to 2%","2016 to 2021",20,0,0,0,0,0,0
1213,"2.1% to 3%","Total",230,225,210,0,0,0,0
1213,"2.1% to 3%","Before 2016",210,200,190,0,0,0,0
1213,"2.1% to 3%","2016 to 2021",20,20,20,0,0,0,0
1213,"3.1% or over","Total",100,90,90,0,0,0,0
1213,"3.1% or over","Before 2016",80,65,65,0,0,0,0
1213,"3.1% or over","2016 to 2021",20,20,20,0,0,0,0
1214,"Total","Total",8525,6330,2985,3340,2200,295,1900
1214,"Total","Before 2016",8005,6020,2760,3260,1985,285,1700
1214,"Total","2016 to 2021",525,305,225,80,215,0,200
1214,"1+ person with limitation","Total",1020,705,485,215,310,15,300
1214,"1+ person with limitation","Before 2016",955,660,440,215,300,15,285
1214,"1+ person with limitation","2016 to 2021",60,45,45,0,0,0,0
1214,"Veteran in household","Total",220,185,85,95,40,0,40
1214,"Veteran in household","Before 2016",205,175,85,95,25,0,25
1214,"Veteran in household","2016 to 2021",15,0,0,0,0,0,0
1214,"0.5% or under","Total",2180,1955,35,1915,230,50,175
1214,"0.5% or under","Before 2016",2130,1910,35,1870,220,50,170
1214,"0.5% or under","2016 to 2021",55,45,0,45,0,0,0
1214,"0.6% to 1.25%","Total",2915,1920,595,1325,995,205,785
1214,"0.6% to 1.25%","Before 2016",2805,1845,555,1290,960,195,760
1214,"0.6% to 1.25%","2016 to 2021",110,75,40,30,35,0,25
1214,"1.26% to 2%","Total",2015,1370,1295,75,640,30,610
1214,"1.26% to 2%","Before 2016",1900,1295,1215,75,610,30,580
1214,"1.26% to 2%","2016 to 2021",105,80,80,0,25,0,25
1214,"2.1% to 3%","Total",1055,810,800,20,245,0,240
1214,"2.1% to 3%","Before 2016",905,755,740,20,150,0,145
1214,"2.1% to 3%","2016 to 2021",150,55,55,0,95,0,90
1214,"3.1% or over","Total",360,265,260,0,90,0,90
1214,"3.1% or over","Before 2016",260,220,215,0,40,0,40
1214,"3.1% or over","2016 to 2021",95,50,50,0,50,0,50
1215,"Total","Total",7370,5910,2380,3530,1460,310,1155
1215,"Total","Before 2016",7110,5700,2250,3450,1410,290,1115
1215,"Total","2016 to 2021",265,215,130,85,50,0,40
1215,"1+ person with limitation","Total",630,525,350,175,100,20,85
1215,"1+ person with limitation","Before 2016",595,500,330,165,100,0,85
1215,"1+ person with limitation","2016 to 2021",30,30,20,0,0,0,0
1215,"Veteran in household","Total",275,240,95,145,40,15,25
1215,"Veteran in household","Before 2016",250,210,75,140,35,0,25
1215,"Veteran in household","2016 to 2021",30,25,20,0,0,0,0
1215,"0.5% or under","Total",2020,1835,0,1820,190,55,135
1215,"0.5% or under","Before 2016",1965,1775,0,1760,190,55,135
1215,"0.5% or under","2016 to 2021",60,60,0,60,0,0,0
1215,"0.6% to 1.25%","Total",2850,2075,460,1615,775,205,570
1215,"0.6% to 1.25%","Before 2016",2785,2040,455,1590,745,195,550
1215,"0.6% to 1.25%","2016 to 2021",70,35,0,25,35,0,15
1215,"1.26% to 2%","Total",1650,1205,1115,85,440,35,410
1215,"1.26% to 2%","Before 2016",1560,1130,1045,85,430,35,400
1215,"1.26% to 2%","2016 to 2021",90,80,80,0,0,0,0
1215,"2.1% to 3%","Total",650,600,590,0,50,0,45
1215,"2.1% to 3%","Before 2016",615,570,565,0,40,0,35
1215,"2.1% to 3%","2016 to 2021",35,25,25,0,0,0,0
1215,"3.1% or over","Total",205,200,200,0,0,0,0
1215,"3.1% or over","Before 2016",185,180,180,0,0,0,0
1215,"3.1% or over","2016 to 2021",15,15,15,0,0,0,0
1216,"Total","Total",3950,3255,1305,1945,695,145,555
1216,"Total","Before 2016",3750,3110,1210,1895,650,145,505
1216,"Total","2016 to 2021",195,145,95,50,50,0,50
1216,"1+ person with limitation","Total",330,270,165,100,65,20,45
1216,"1+ person with limitation","Before 2016",320,255,160,95,65,20,45
1216,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1216,"Veteran in household","Total",185,175,80,95,0,0,0
1216,"Veteran in household","Before 2016",185,175,80,95,0,0,0
1216,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1216,"0.5% or under","Total",1190,1040,0,1025,150,40,105
1216,"0.5% or under","Before 2016",1150,1005,0,995,140,40,105
1216,"0.5% or under","2016 to 2021",40,35,0,30,0,0,0
1216,"0.6% to 1.25%","Total",1300,1035,195,845,260,80,185
1216,"0.6% to 1.25%","Before 2016",1275,1010,185,830,260,80,185
1216,"0.6% to 1.25%","2016 to 2021",20,20,0,0,0,0,0
1216,"1.26% to 2%","Total",840,625,555,65,220,20,200
1216,"1.26% to 2%","Before 2016",780,590,530,60,190,20,170
1216,"1.26% to 2%","2016 to 2021",65,35,25,0,30,0,30
1216,"2.1% to 3%","Total",450,390,380,0,60,0,55
1216,"2.1% to 3%","Before 2016",405,360,350,0,45,0,45
1216,"2.1% to 3%","2016 to 2021",40,30,30,0,0,0,0
1216,"3.1% or over","Total",170,165,165,0,0,0,0
1216,"3.1% or over","Before 2016",140,135,135,0,0,0,0
1216,"3.1% or over","2016 to 2021",30,30,30,0,0,0,0
1217,"Total","Total",42230,30020,13935,16085,12205,2950,9260
1217,"Total","Before 2016",41155,29485,13585,15900,11665,2910,8755
1217,"Total","2016 to 2021",1075,535,350,185,540,40,500
1217,"1+ person with limitation","Total",4495,3220,2155,1065,1275,245,1030
1217,"1+ person with limitation","Before 2016",4410,3175,2115,1060,1235,245,995
1217,"1+ person with limitation","2016 to 2021",85,45,45,0,35,0,35
1217,"Veteran in household","Total",3240,2565,1215,1355,675,110,565
1217,"Veteran in household","Before 2016",3175,2525,1190,1340,650,110,540
1217,"Veteran in household","2016 to 2021",60,35,20,20,25,0,25
1217,"0.5% or under","Total",5820,4625,40,4585,1195,635,560
1217,"0.5% or under","Before 2016",5750,4580,40,4540,1165,625,545
1217,"0.5% or under","2016 to 2021",70,45,0,45,30,0,15
1217,"0.6% to 1.25%","Total",16230,11735,1645,10090,4495,1745,2745
1217,"0.6% to 1.25%","Before 2016",16020,11590,1620,9970,4435,1725,2705
1217,"0.6% to 1.25%","2016 to 2021",210,150,25,120,60,25,35
1217,"1.26% to 2%","Total",13015,7625,6545,1080,5390,505,4885
1217,"1.26% to 2%","Before 2016",12660,7505,6440,1060,5160,500,4660
1217,"1.26% to 2%","2016 to 2021",355,125,110,15,230,0,225
1217,"2.1% to 3%","Total",5195,4185,3915,265,1015,50,965
1217,"2.1% to 3%","Before 2016",4890,4080,3820,260,810,50,765
1217,"2.1% to 3%","2016 to 2021",300,100,95,0,205,0,205
1217,"3.1% or over","Total",1965,1855,1785,65,110,0,100
1217,"3.1% or over","Before 2016",1825,1730,1670,65,95,0,85
1217,"3.1% or over","2016 to 2021",135,120,120,0,20,0,20
1218,"Total","Total",3055,2705,1100,1600,350,60,290
1218,"Total","Before 2016",2975,2640,1060,1580,335,60,280
1218,"Total","2016 to 2021",75,60,40,20,0,0,0
1218,"1+ person with limitation","Total",225,205,145,60,20,0,15
1218,"1+ person with limitation","Before 2016",220,195,140,60,20,0,15
1218,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1218,"Veteran in household","Total",180,150,80,75,25,0,25
1218,"Veteran in household","Before 2016",175,145,75,75,25,0,25
1218,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1218,"0.5% or under","Total",980,905,0,890,80,0,70
1218,"0.5% or under","Before 2016",970,895,0,875,80,0,70
