"dguid","char","period","total","o","om","onm","r","rs","rns"
1008,"0.5% or under","Before 2016",5130,4955,0,4945,170,50,125
1008,"0.5% or under","2016 to 2021",135,115,0,115,15,0,0
1008,"0.6% to 1.25%","Total",5730,4755,550,4205,970,230,745
1008,"0.6% to 1.25%","Before 2016",5620,4680,540,4135,945,225,720
1008,"0.6% to 1.25%","2016 to 2021",105,80,0,65,30,0,25
1008,"1.26% to 2%","Total",3015,2085,1835,255,925,105,825
1008,"1.26% to 2%","Before 2016",2910,2060,1810,255,850,85,765
1008,"1.26% to 2%","2016 to 2021",105,25,25,0,80,15,60
1008,"2.1% to 3%","Total",995,910,835,80,80,0,80
1008,"2.1% to 3%","Before 2016",935,855,780,80,80,0,80
1008,"2.1% to 3%","2016 to 2021",55,55,55,0,0,0,0
1008,"3.1% or over","Total",380,355,345,0,20,0,20
1008,"3.1% or over","Before 2016",320,305,290,0,20,0,20
1008,"3.1% or over","2016 to 2021",55,50,50,0,0,0,0
1009,"Total","Total",6635,5940,1375,4570,690,155,540
1009,"Total","Before 2016",6475,5830,1310,4520,650,145,505
1009,"Total","2016 to 2021",155,110,65,45,45,0,35
1009,"1+ person with limitation","Total",335,300,120,180,35,0,30
1009,"1+ person with limitation","Before 2016",325,295,115,180,35,0,30
1009,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1009,"Veteran in household","Total",175,170,45,120,0,0,0
1009,"Veteran in household","Before 2016",170,165,40,120,0,0,0
1009,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1009,"0.5% or under","Total",2625,2535,0,2530,90,20,75
1009,"0.5% or under","Before 2016",2605,2510,0,2505,90,20,75
1009,"0.5% or under","2016 to 2021",25,25,0,25,0,0,0
1009,"0.6% to 1.25%","Total",2555,2155,255,1900,395,120,275
1009,"0.6% to 1.25%","Before 2016",2525,2140,255,1885,380,110,265
1009,"0.6% to 1.25%","2016 to 2021",35,20,0,20,20,0,0
1009,"1.26% to 2%","Total",990,795,705,90,190,0,175
1009,"1.26% to 2%","Before 2016",925,755,670,85,170,0,155
1009,"1.26% to 2%","2016 to 2021",60,35,35,0,25,0,25
1009,"2.1% to 3%","Total",370,355,330,30,0,0,0
1009,"2.1% to 3%","Before 2016",340,335,310,30,0,0,0
1009,"2.1% to 3%","2016 to 2021",25,20,20,0,0,0,0
1009,"3.1% or over","Total",95,90,85,0,0,0,0
1009,"3.1% or over","Before 2016",85,80,70,0,0,0,0
1009,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1010,"Total","Total",8965,6625,3765,2860,2340,460,1875
1010,"Total","Before 2016",8730,6505,3680,2820,2230,450,1780
1010,"Total","2016 to 2021",230,120,80,40,110,15,90
1010,"1+ person with limitation","Total",1000,725,555,175,275,45,230
1010,"1+ person with limitation","Before 2016",965,715,540,170,255,45,210
1010,"1+ person with limitation","2016 to 2021",30,15,0,0,20,0,20
1010,"Veteran in household","Total",385,230,145,90,150,30,115
1010,"Veteran in household","Before 2016",380,230,140,90,145,30,110
1010,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1010,"0.5% or under","Total",3640,2865,150,2715,775,350,430
1010,"0.5% or under","Before 2016",3580,2820,140,2680,765,340,420
1010,"0.5% or under","2016 to 2021",60,45,10,35,15,0,0
1010,"0.6% to 1.25%","Total",2835,1565,1425,140,1265,100,1165
1010,"0.6% to 1.25%","Before 2016",2745,1540,1400,135,1210,90,1120
1010,"0.6% to 1.25%","2016 to 2021",85,25,20,0,60,0,40
1010,"1.26% to 2%","Total",2235,1945,1940,0,285,0,275
1010,"1.26% to 2%","Before 2016",2165,1915,1910,0,250,0,240
1010,"1.26% to 2%","2016 to 2021",65,30,30,0,40,0,40
1010,"2.1% to 3%","Total",220,220,220,0,0,0,0
1010,"2.1% to 3%","Before 2016",205,200,200,0,0,0,0
1010,"2.1% to 3%","2016 to 2021",15,15,15,0,0,0,0
1010,"3.1% or over","Total",30,30,30,0,0,0,0
1010,"3.1% or over","Before 2016",30,30,30,0,0,0,0
1010,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1011,"Total","Total",780,630,75,560,150,55,95
1011,"Total","Before 2016",705,580,65,510,130,45,85
