"dguid","var","1per","2per","3per","4per","5per"
3512036,"mbm",25120,35520,43500,50230,56160
3512036,"living_income",40730,57600,70550,81460,91070
3512046,"mbm",27400,38750,47460,54810,61280
3512046,"living_income",44440,62850,76970,88880,99370
3512061,"mbm",28060,39690,48610,56130,62750
3512061,"living_income",45560,64430,78900,91110,101870
3512076,"mbm",24820,35100,42990,49640,55500
3512076,"living_income",40410,57150,69990,80820,90360
3513020,"mbm",25140,35560,43550,50280,56220
3513020,"living_income",40750,57630,70580,81500,91110
3514004,"mbm",24880,35180,43090,49750,55630
3514004,"living_income",40340,57060,69880,80690,90210
3514014,"mbm",26390,37320,45710,52790,59020
3514014,"living_income",42600,60240,73780,85190,95250
3514019,"mbm",24200,34220,41910,48400,54110
3514019,"living_income",39100,55300,67730,78210,87440
3514020,"mbm",26410,37350,45740,52820,59060
3514020,"living_income",42600,60250,73790,85210,95270
3514021,"mbm",27080,38300,46910,54170,60560
3514021,"living_income",43740,61860,75770,87490,97820
3514024,"mbm",24610,34810,42630,49220,55030
3514024,"living_income",39760,56220,68860,79510,88900
3514027,"mbm",24000,33940,41570,48000,53670
3514027,"living_income",39620,56040,68630,79250,88600
3514045,"mbm",26070,36870,45150,52140,58290
3514045,"living_income",42250,59750,73180,84510,94480
3515003,"mbm",25840,36550,44760,51680,57780
3515003,"living_income",41810,59130,72410,83620,93490
3515005,"mbm",25460,36010,44110,50930,56940
3515005,"living_income",41080,58100,71150,82160,91860
3515013,"mbm",25570,36160,44280,51130,57170
3515013,"living_income",41150,58200,71280,82300,92020
3515014,"mbm",28410,40180,49210,56830,63530
3515014,"living_income",45820,64810,79370,91650,102470
3515015,"mbm",24390,34490,42250,48780,54540
3515015,"living_income",39460,55810,68350,78930,88250
3515019,"mbm",23680,33490,41010,47360,52950
3515019,"living_income",38970,55110,67500,77940,87140
3515023,"mbm",24560,34740,42540,49120,54920
3515023,"living_income",39720,56170,68790,79430,88810
3515030,"mbm",26100,36910,45200,52200,58360
3515030,"living_income",42310,59840,73280,84620,94610
3515044,"mbm",24950,35290,43220,49900,55790
3515044,"living_income",40400,57140,69980,80810,90350
3516010,"mbm",26470,37430,45840,52930,59180
3516010,"living_income",42750,60460,74050,85500,95590
3518001,"mbm",27440,38800,47520,54880,61350
3518001,"living_income",43990,62220,76200,87990,98370
3518005,"mbm",28120,39770,48710,56240,62880
3518005,"living_income",45030,63680,77990,90050,100680
3518009,"mbm",26930,38080,46640,53860,60220
3518009,"living_income",43190,61090,74810,86390,96580
3518013,"mbm",29180,41260,50540,58350,65240
3518013,"living_income",46870,66290,81190,93750,104820
3518017,"mbm",27050,38260,46860,54110,60490
3518017,"living_income",43440,61440,75240,86880,97140
3518020,"mbm",25520,36100,44210,51050,57070
3518020,"living_income",41140,58180,71260,82290,92000
3518029,"mbm",25910,36640,44870,51810,57930
3518029,"living_income",41670,58930,72170,83340,93180
3518039,"mbm",27010,38200,46780,54020,60390
